id,name,year,start_time,end_time,init_lat,init_lon,vmax,mslp,cities_impacted,storm_track
AL031998,CHARLEY,1998,1998-08-21T06:00:00,1998-08-24T00:00:00,25.3,-92.3,60,1000,"hit Corpus Christi, USA as Tropical Storm","[(25.3, -92.3, 'TD'), (25.4, -93.8, 'TD'), (26.0, -94.5, 'TS'), (26.8, -95.4, 'TS'), (27.5, -96.5, 'TS'), (27.8, -97.1, 'TS'), (27.9, -97.4, 'TS'), (28.3, -98.1, 'TD'), (28.5, -98.7, 'TD'), (28.7, -99.3, 'TD'), (28.8, -99.9, 'TD'), (29.1, -100.6, 'TD'), (29.4, -101.2, 'TD')]"
AL051998,EARL,1998,1998-08-31T12:00:00,1998-09-08T12:00:00,21.6,-93.5,85,964,,"[(21.6, -93.5, 'TD'), (22.4, -93.8, 'TS'), (23.2, -93.7, 'TS'), (24.1, -93.4, 'TS'), (25.0, -93.1, 'TS'), (25.8, -92.5, 'TS'), (26.8, -91.5, 'TS'), (27.6, -90.4, 'TS'), (28.2, -89.0, 'HU'), (28.7, -87.9, 'HU'), (29.4, -86.8, 'HU'), (30.1, -85.7, 'HU'), (31.3, -84.0, 'TS'), (32.4, -82.4, 'EX'), (33.2, -80.5, 'EX'), (34.5, -79.0, 'EX'), (35.9, -77.2, 'EX'), (36.5, -75.0, 'EX'), (38.0, -71.0, 'EX'), (40.0, -65.5, 'EX'), (42.5, -61.0, 'EX'), (45.0, -56.0, 'EX'), (47.0, -54.0, 'EX'), (48.0, -53.0, 'EX'), (49.0, -52.0, 'EX'), (49.5, -50.0, 'EX'), (50.0, -48.0, 'EX'), (50.5, -45.0, 'EX'), (51.0, -41.0, 'EX'), (51.0, -37.0, 'EX'), (51.0, -32.0, 'EX'), (51.5, -28.5, 'EX'), (52.0, -25.0, 'EX')]"
AL061998,FRANCES,1998,1998-09-08T18:00:00,1998-09-13T18:00:00,25.5,-94.5,55,990,"hit Corpus Christi, USA as Tropical Storm","[(25.5, -94.5, 'TD'), (25.3, -94.4, 'TD'), (25.0, -94.5, 'TD'), (24.6, -94.7, 'TD'), (24.2, -95.5, 'TS'), (23.5, -95.6, 'TS'), (24.2, -95.0, 'TS'), (25.3, -95.2, 'TS'), (26.6, -95.2, 'TS'), (27.2, -95.9, 'TS'), (28.2, -96.9, 'TS'), (28.4, -97.6, 'TS'), (28.5, -97.0, 'TS'), (29.3, -96.9, 'TD'), (30.2, -96.8, 'TD'), (31.0, -96.8, 'TD'), (31.3, -96.8, 'TD'), (31.5, -96.8, 'TD'), (31.7, -96.9, 'TD'), (32.0, -96.9, 'TD'), (33.0, -97.0, 'TD')]"
AL071998,GEORGES,1998,1998-09-15T12:00:00,1998-10-01T06:00:00,9.7,-25.1,135,937,"hit Pensacola, USA as Tropical Depression, hit Mobile, USA as Tropical Depression, hit Biloxi, USA as Hurricane, hit Key West, USA as Hurricane, hit Varadero, Cuba as Hurricane","[(9.7, -25.1, 'TD'), (9.8, -26.5, 'TD'), (10.0, -28.1, 'TD'), (10.3, -29.7, 'TD'), (10.6, -31.3, 'TS'), (11.0, -32.9, 'TS'), (11.3, -34.6, 'TS'), (11.7, -36.3, 'TS'), (12.0, -38.1, 'TS'), (12.3, -40.0, 'HU'), (12.5, -42.0, 'HU'), (12.8, -43.9, 'HU'), (13.1, -45.7, 'HU'), (13.5, -47.4, 'HU'), (13.9, -49.0, 'HU'), (14.4, -50.6, 'HU'), (14.9, -52.0, 'HU'), (15.4, -53.5, 'HU'), (15.7, -54.9, 'HU'), (16.0, -56.3, 'HU'), (16.2, -57.7, 'HU'), (16.4, -59.2, 'HU'), (16.7, -60.6, 'HU'), (17.0, -61.7, 'HU'), (17.1, -62.1, 'HU'), (17.2, -62.6, 'HU'), (17.4, -63.6, 'HU'), (17.8, -65.0, 'HU'), (18.1, -65.8, 'HU'), (18.2, -66.3, 'HU'), (18.0, -67.4, 'HU'), (18.2, -68.5, 'HU'), (18.2, -68.7, 'HU'), (18.6, -69.7, 'HU'), (18.8, -70.8, 'HU'), (19.0, -72.1, 'HU'), (19.3, -73.3, 'HU'), (19.8, -74.3, 'HU'), (20.1, -74.5, 'HU'), (20.5, -74.9, 'HU'), (20.8, -76.0, 'HU'), (21.3, -77.2, 'HU'), (21.9, -78.0, 'HU'), (22.7, -79.0, 'HU'), (23.4, -80.2, 'HU'), (23.9, -81.3, 'HU'), (24.5, -81.8, 'HU'), (24.6, -82.4, 'HU'), (24.8, -83.3, 'HU'), (25.2, -84.2, 'HU'), (25.7, -85.1, 'HU'), (26.2, -85.9, 'HU'), (27.0, -86.5, 'HU'), (27.6, -87.2, 'HU'), (28.2, -87.8, 'HU'), (28.8, -88.3, 'HU'), (29.3, -88.5, 'HU'), (29.8, -88.7, 'HU'), (30.4, -88.9, 'HU'), (30.4, -88.9, 'HU'), (30.6, -88.9, 'HU'), (30.6, -89.0, 'TS'), (30.6, -88.4, 'TS'), (31.0, -88.1, 'TD'), (30.9, -87.5, 'TD'), (30.8, -86.9, 'TD'), (30.7, -86.3, 'TD'), (30.7, -85.4, 'TD'), (30.6, -84.2, 'TD'), (30.5, -83.0, 'TD'), (30.5, -81.8, 'TD')]"
AL081998,HERMINE,1998,1998-09-17T12:00:00,1998-09-20T18:00:00,26.9,-90.3,40,999,"hit New Orleans, USA as Tropical Depression","[(26.9, -90.3, 'TD'), (26.8, -91.6, 'TD'), (26.4, -92.1, 'TD'), (25.7, -92.5, 'TD'), (26.0, -92.5, 'TD'), (25.9, -92.3, 'TD'), (25.8, -92.0, 'TD'), (26.4, -91.4, 'TD'), (27.5, -91.3, 'TS'), (28.3, -91.1, 'TS'), (29.0, -90.9, 'TS'), (29.1, -90.9, 'TS'), (29.2, -90.9, 'TS'), (30.5, -90.5, 'TD'), (31.0, -90.0, 'TD')]"
AL131998,MITCH,1998,1998-10-22T00:00:00,1998-11-09T18:00:00,11.6,-76.1,155,905,"hit Campeche, Mexico as Tropical Storm, hit Mérida, Mexico as Tropical Depression, hit Ciudad del Carmen, Mexico as Low Pressure Disturbance, hit Progreso, Mexico as Tropical Depression, hit Coatzacoalcos, Mexico as Low Pressure Disturbance","[(11.6, -76.1, 'TD'), (11.9, -77.1, 'TD'), (12.0, -77.9, 'TD'), (11.6, -77.9, 'TS'), (11.8, -77.6, 'TS'), (12.2, -77.6, 'TS'), (12.5, -77.8, 'TS'), (12.9, -78.0, 'TS'), (13.4, -77.9, 'TS'), (13.9, -77.8, 'HU'), (14.5, -77.9, 'HU'), (15.0, -78.1, 'HU'), (15.5, -78.4, 'HU'), (16.0, -78.9, 'HU'), (16.2, -79.6, 'HU'), (16.4, -80.3, 'HU'), (16.4, -81.0, 'HU'), (16.4, -81.8, 'HU'), (16.6, -82.6, 'HU'), (16.9, -83.1, 'HU'), (17.2, -83.8, 'HU'), (17.3, -84.4, 'HU'), (17.1, -85.0, 'HU'), (16.9, -85.4, 'HU'), (16.6, -85.6, 'HU'), (16.3, -85.6, 'HU'), (16.3, -85.6, 'HU'), (16.3, -85.7, 'HU'), (16.2, -85.8, 'HU'), (16.1, -85.8, 'HU'), (15.9, -85.7, 'HU'), (15.8, -85.6, 'TS'), (15.6, -85.7, 'TS'), (15.4, -85.9, 'TS'), (15.2, -86.1, 'TS'), (14.9, -86.5, 'TS'), (14.7, -87.0, 'TS'), (14.5, -87.7, 'TS'), (14.5, -88.5, 'TS'), (14.6, -89.2, 'TD'), (14.6, -90.0, 'TD'), (14.7, -90.8, 'TD'), (14.9, -91.5, 'TD'), (15.5, -92.2, 'TD'), (16.3, -92.7, 'LO'), (17.1, -93.1, 'LO'), (17.9, -93.4, 'LO'), (18.7, -93.7, 'LO'), (19.2, -93.4, 'LO'), (19.3, -92.7, 'LO'), (19.4, -92.1, 'LO'), (19.6, -91.4, 'TS'), (20.0, -90.6, 'TS'), (20.1, -90.5, 'TS'), (20.8, -89.6, 'TD'), (21.8, -88.2, 'TS'), (23.3, -86.5, 'TS'), (24.8, -84.8, 'TS'), (25.6, -83.1, 'TS'), (26.2, -81.9, 'TS'), (26.6, -81.3, 'TS'), (27.5, -78.3, 'EX'), (30.0, -75.0, 'EX'), (32.5, -72.0, 'EX'), (35.0, -68.0, 'EX'), (37.0, -63.0, 'EX'), (39.0, -58.0, 'EX'), (41.0, -53.0, 'EX'), (42.5, -47.5, 'EX'), (44.5, -42.0, 'EX'), (46.5, -36.5, 'EX'), (48.5, -31.0, 'EX'), (50.0, -25.0, 'EX'), (53.5, -20.5, 'EX'), (55.5, -14.5, 'EX'), (58.0, -10.5, 'EX'), (61.0, -10.0, 'EX'), (63.5, -5.0, 'EX')]"
AL031999,BRET,1999,1999-08-18T18:00:00,1999-08-25T00:00:00,19.5,-94.4,125,944,,"[(19.5, -94.4, 'TD'), (19.5, -94.5, 'TD'), (19.6, -94.6, 'TD'), (19.7, -94.6, 'TD'), (19.8, -94.7, 'TS'), (19.8, -94.7, 'TS'), (20.0, -94.6, 'TS'), (20.4, -94.5, 'TS'), (21.2, -94.4, 'TS'), (21.9, -94.5, 'HU'), (22.5, -94.7, 'HU'), (23.1, -94.9, 'HU'), (23.8, -95.0, 'HU'), (24.7, -95.1, 'HU'), (25.5, -95.5, 'HU'), (26.2, -96.1, 'HU'), (26.6, -96.8, 'HU'), (26.9, -97.4, 'HU'), (27.0, -97.9, 'HU'), (27.3, -98.3, 'TS'), (27.6, -98.8, 'TS'), (28.0, -99.5, 'TD'), (28.0, -100.4, 'TD'), (27.8, -101.3, 'TD'), (27.7, -102.1, 'TD'), (27.6, -103.0, 'TD')]"
AL101999,HARVEY,1999,1999-09-19T06:00:00,1999-09-22T00:00:00,25.0,-87.8,50,994,,"[(25.0, -87.8, 'TD'), (25.5, -87.8, 'TD'), (26.0, -87.8, 'TD'), (26.3, -87.4, 'TS'), (26.6, -86.9, 'TS'), (27.0, -86.3, 'TS'), (27.0, -85.5, 'TS'), (27.1, -84.6, 'TS'), (26.5, -83.9, 'TS'), (26.3, -83.7, 'TS'), (26.0, -82.8, 'TS'), (25.9, -81.7, 'TS'), (25.9, -81.5, 'TS'), (26.9, -78.6, 'TS')]"
AL131999,IRENE,1999,1999-10-12T12:00:00,1999-10-19T18:00:00,15.9,-82.0,95,958,"hit Miami, USA as Hurricane, hit Key West, USA as Hurricane, hit Havana, Cuba as Tropical Storm","[(15.9, -82.0, 'LO'), (16.4, -83.0, 'LO'), (16.7, -83.2, 'LO'), (17.3, -83.3, 'TD'), (18.5, -83.4, 'TS'), (19.8, -83.6, 'TS'), (20.7, -83.6, 'TS'), (21.0, -83.6, 'TS'), (21.3, -82.9, 'TS'), (22.4, -82.4, 'TS'), (22.7, -82.5, 'TS'), (23.1, -82.6, 'TS'), (23.8, -82.2, 'HU'), (24.4, -81.8, 'HU'), (24.6, -81.6, 'HU'), (25.1, -81.3, 'HU'), (25.3, -81.1, 'HU'), (26.1, -80.6, 'HU'), (27.0, -80.2, 'HU'), (27.8, -80.1, 'HU'), (28.6, -79.9, 'HU'), (29.4, -79.8, 'HU'), (30.2, -79.8, 'HU'), (31.2, -79.7, 'HU'), (32.2, -79.0, 'HU'), (33.4, -77.4, 'HU'), (34.8, -75.2, 'HU'), (35.4, -74.4, 'HU'), (36.8, -71.6, 'HU'), (39.0, -67.4, 'HU'), (41.5, -61.0, 'HU'), (44.9, -51.5, 'EX'), (48.0, -48.0, 'EX'), (51.0, -45.0, 'EX')]"
AL112000,GORDON,2000,2000-09-14T12:00:00,2000-09-21T06:00:00,19.8,-87.3,70,981,,"[(19.8, -87.3, 'TD'), (20.4, -87.4, 'TD'), (20.7, -87.7, 'TD'), (21.0, -88.0, 'TD'), (21.4, -88.7, 'TD'), (21.6, -87.8, 'TD'), (22.5, -86.7, 'TS'), (22.9, -86.6, 'TS'), (23.5, -86.3, 'TS'), (24.3, -85.9, 'TS'), (25.2, -85.4, 'HU'), (26.1, -84.9, 'HU'), (27.1, -84.3, 'HU'), (28.0, -83.8, 'HU'), (28.9, -83.4, 'TS'), (29.3, -83.2, 'TS'), (29.8, -83.0, 'TS'), (31.0, -82.3, 'TD'), (32.3, -81.5, 'EX'), (33.5, -80.2, 'EX'), (35.0, -79.0, 'EX'), (37.0, -78.2, 'EX'), (38.5, -76.0, 'EX'), (40.0, -74.0, 'EX'), (41.5, -72.0, 'EX'), (42.0, -69.5, 'EX'), (42.5, -67.2, 'EX'), (43.0, -65.0, 'EX'), (43.5, -63.0, 'EX')]"
