date,min_temp,rainfall,windspeed,humidity,cloudcover,OLS
8/15/21,0,4.9,7,52,Mostly Cloudy,0.7053770564643365
4/14/21,0,1.2,7,88,Heavy T-Storm,0.5087646231615208
10/27/21,65,3.6,21,36,Partly Cloudy / Windy,0.45619905277980005
7/30/21,79,2.3,22,52,Thunder / Windy,0.4366781195048299
2/11/21,40,2.6,17,86,Cloudy,0.36421845786157814
6/22/21,0,1.3,14,54,Partly Cloudy,0.336063038878854
2/14/21,28,0.0,14,82,Rain,0.33024284832837886
8/26/21,0,0.8,7,55,Mostly Cloudy,0.326806488209976
6/29/21,77,3.2,0,82,Mostly Cloudy,0.32653239109163223
6/28/21,75,4.7,7,87,Light Rain,0.31546748050309936
9/2/21,81,4.1,10,72,Cloudy,0.3036089876816545
1/10/21,37,1.5,18,89,Rain,0.3018119610010893
9/14/21,71,4.1,14,79,Cloudy,0.28183699972301135
11/25/21,55,1.3,20,84,Light Rain,0.2581486090349242
1/27/21,51,0.0,22,22,Mostly Cloudy / Windy,0.25640787437436197
10/28/21,61,0.0,29,17,Fair / Windy,0.24873481107556508
7/31/21,80,0.0,10,67,Thunder in the Vicinity,0.2470891643712513
2/15/21,18,0.0,15,66,Partly Cloudy,0.24065429301541066
2/16/21,15,0.0,7,46,Cloudy,0.23841996541849858
10/15/21,74,0.0,25,69,Light Rain with Thunder,0.23137820103216772
2/17/21,33,0.3,14,89,Cloudy,0.22523182067821912
8/16/21,76,0.0,12,53,Thunder,0.22425235289282486
9/13/21,73,3.9,12,88,Light Rain,0.22423266750538087
2/10/21,48,0.3,7,84,Haze,0.22181090445345072
4/16/21,65,0.2,5,91,Fog,0.21634715563137083
8/25/21,81,0.0,5,52,Light Rain,0.213088104480247
3/1/21,53,1.1,21,72,Cloudy / Windy,0.2047001112858305
12/18/21,54,2.3,10,87,Light Rain with Thunder,0.20073317267105556
10/23/21,71,0.7,6,71,Thunder,0.19992050508890108
2/12/21,36,0.0,20,79,Cloudy,0.1971533854441304
1/6/21,54,1.0,24,53,Mostly Cloudy / Windy,0.1951558157452693
7/19/21,76,2.3,15,52,Mostly Cloudy,0.1931160628682833
11/11/21,62,0.9,14,59,Fair,0.1931083239907134
7/3/21,79,1.0,0,74,Cloudy,0.1929304084768828
1/12/21,34,0.0,3,48,Cloudy,0.19131320634537377
2/18/21,32,0.0,18,60,Fair,0.18976219641012543
3/17/21,59,0.5,22,20,Partly Cloudy / Windy,0.18878963383824782
11/21/21,64,1.0,7,62,Mostly Cloudy,0.18262297118547888
9/29/21,69,2.2,8,57,Mostly Cloudy,0.18076059639858477
6/5/21,73,0.0,14,67,Thunder,0.18008615163231864
12/10/21,77,0.0,28,65,Mostly Cloudy / Windy,0.17944597928421452
6/3/21,72,1.9,7,76,Cloudy,0.17865853155802297
9/1/21,82,1.0,3,74,Mostly Cloudy,0.17740981877487885
7/14/21,77,0.2,18,81,Light Rain with Thunder,0.1764289558375708
11/3/21,59,0.7,12,75,Light Rain with Thunder,0.174502664378796
10/11/21,71,1.0,3,37,Partly Cloudy,0.17428775742047048
5/18/21,67,2.5,15,69,Mostly Cloudy,0.17347714441668055
5/24/21,74,3.2,15,79,Light Rain,0.17295468053118396
2/13/21,36,0.0,13,67,Cloudy,0.1727988303100883
3/24/21,64,0.0,26,73,Cloudy / Windy,0.17263360421017135
7/9/21,74,2.5,7,84,Light Rain,0.16927683662168247
5/19/21,67,1.9,7,87,Light Rain,0.16890565782123318
5/29/21,70,0.7,0,40,Fair,0.16824409611912278
2/19/21,26,0.0,7,35,Fair,0.1648174358748283
1/20/21,59,0.0,13,84,Haze,0.1638358258878019
10/29/21,58,0.0,24,20,Fair / Windy,0.16354586309903474
12/20/21,48,0.1,0,59,Mostly Cloudy,0.16213084006605039
1/11/21,36,0.0,17,58,Mostly Cloudy,0.1614375018808122
4/3/21,53,0.0,13,58,Light Rain,0.15947969546024746
4/30/21,71,1.6,10,73,Cloudy,0.15909182580971853
7/5/21,79,1.9,7,65,Mostly Cloudy,0.15829925694309083
9/18/21,75,0.0,7,72,Partly Cloudy,0.15761526448780988
5/16/21,72,0.6,12,87,Light Rain with Thunder,0.15711051096847822
12/2/21,56,0.0,0,56,Cloudy,0.15707093760804167
4/23/21,68,0.0,17,85,Light Rain,0.1568352357196924
7/20/21,78,1.0,8,52,Partly Cloudy,0.1551455130405323
