date     ,min_temp ,rainfall ,windspeed ,humidity ,cloudcover              ,OLS
8/15/21  ,       0 ,     4.9 ,        7 ,      52 ,Mostly Cloudy           ,0.9086090893216119
4/14/21  ,       0 ,     1.2 ,        7 ,      88 ,Heavy T-Storm           ,0.7068059587869259
10/27/21 ,      65 ,     3.6 ,       21 ,      36 ,Partly Cloudy / Windy   ,0.6028105694796914
7/30/21  ,      79 ,     2.3 ,       22 ,      52 ,Thunder / Windy         ,0.543318531802442
8/18/21  ,       0 ,     0.5 ,       14 ,      77 ,                        ,0.4830138762346804
6/22/21  ,       0 ,     1.3 ,       14 ,      54 ,Partly Cloudy           ,0.4802122230077924
6/28/21  ,      75 ,     4.7 ,        7 ,      87 ,Light Rain              ,0.4761220005152723
2/11/21  ,      40 ,     2.6 ,       17 ,      86 ,Cloudy                  ,0.4708419696705008
8/26/21  ,       0 ,     0.8 ,        7 ,      55 ,Mostly Cloudy           ,0.46856150472011265
1/10/21  ,      37 ,     1.5 ,       18 ,      89 ,Rain                    ,0.4421277237907386
2/14/21  ,      28 ,     0.0 ,       14 ,      82 ,Rain                    ,0.4390249825070684
6/29/21  ,      77 ,     3.2 ,        0 ,      82 ,Mostly Cloudy           ,0.43456921320366876
9/14/21  ,      71 ,     4.1 ,       14 ,      79 ,Cloudy                  ,0.43032117138194886
9/2/21   ,      81 ,     4.1 ,       10 ,      72 ,Cloudy                  ,0.42213946304092115
10/28/21 ,      61 ,     0.0 ,       29 ,      17 ,Fair / Windy            ,0.39641475151326633
7/31/21  ,      80 ,     0.0 ,       10 ,      67 ,Thunder in the Vicinity ,0.38254545753219416
9/13/21  ,      73 ,     3.9 ,       12 ,      88 ,Light Rain              ,0.3655696486932585
1/27/21  ,      51 ,     0.0 ,       22 ,      22 ,Mostly Cloudy / Windy   ,0.3595823958621711
2/16/21  ,      15 ,     0.0 ,        7 ,      46 ,Cloudy                  ,0.3431662932978801
2/15/21  ,      18 ,     0.0 ,       15 ,      66 ,Partly Cloudy           ,0.33494181118755156
12/18/21 ,      54 ,     2.3 ,       10 ,      87 ,Light Rain with Thunder ,0.32849667357807183
11/25/21 ,      55 ,     1.3 ,       20 ,      84 ,Light Rain              ,0.3279125271853755
2/17/21  ,      33 ,     0.3 ,       14 ,      89 ,Cloudy                  ,0.32374865208529796
7/19/21  ,      76 ,     2.3 ,       15 ,      52 ,Mostly Cloudy           ,0.32101731963076724
5/24/21  ,      74 ,     3.2 ,       15 ,      79 ,Light Rain              ,0.3155850737706561
8/16/21  ,      76 ,     0.0 ,       12 ,      53 ,Thunder                 ,0.3151128904667906
10/15/21 ,      74 ,     0.0 ,       25 ,      69 ,Light Rain with Thunder ,0.30944647658552704
2/10/21  ,      48 ,     0.3 ,        7 ,      84 ,Haze                    ,0.30484321717602886
7/9/21   ,      74 ,     2.5 ,        7 ,      84 ,Light Rain              ,0.3015367925799719
5/19/21  ,      67 ,     1.9 ,        7 ,      87 ,Light Rain              ,0.2972518591490404
10/23/21 ,      71 ,     0.7 ,        6 ,      71 ,Thunder                 ,0.29175005792768666
2/12/21  ,      36 ,     0.0 ,       20 ,      79 ,Cloudy                  ,0.2849401352864443
9/29/21  ,      69 ,     2.2 ,        8 ,      57 ,Mostly Cloudy           ,0.28449751621105174
7/3/21   ,      79 ,     1.0 ,        0 ,      74 ,Cloudy                  ,0.2843261238189682
4/16/21  ,      65 ,     0.2 ,        5 ,      91 ,Fog                     ,0.28292176432152233
2/18/21  ,      32 ,     0.0 ,       18 ,      60 ,Fair                    ,0.2820482569753149
3/17/21  ,      59 ,     0.5 ,       22 ,      20 ,Partly Cloudy / Windy   ,0.2795475866592115
12/20/21 ,      48 ,     0.1 ,        0 ,      59 ,Mostly Cloudy           ,0.27907132990648714
6/3/21   ,      72 ,     1.9 ,        7 ,      76 ,Cloudy                  ,0.2772611741480977
1/6/21   ,      54 ,     1.0 ,       24 ,      53 ,Mostly Cloudy / Windy   ,0.2766934951528219
5/18/21  ,      67 ,     2.5 ,       15 ,      69 ,Mostly Cloudy           ,0.276646837372326
3/1/21   ,      53 ,     1.1 ,       21 ,      72 ,Cloudy / Windy          ,0.2722962824613727
10/29/21 ,      58 ,     0.0 ,       24 ,      20 ,Fair / Windy            ,0.2694643838835526
1/12/21  ,      34 ,     0.0 ,        3 ,      48 ,Cloudy                  ,0.26803800745266787
7/14/21  ,      77 ,     0.2 ,       18 ,      81 ,Light Rain with Thunder ,0.2675884077364661
12/10/21 ,      77 ,     0.0 ,       28 ,      65 ,Mostly Cloudy / Windy   ,0.2651691461544795
7/5/21   ,      79 ,     1.9 ,        7 ,      65 ,Mostly Cloudy           ,0.2621814621322121
5/23/21  ,      74 ,     2.3 ,       12 ,      85 ,Light Rain              ,0.2618915619049983
8/13/21  ,      80 ,     0.1 ,        9 ,      79 ,Thunder                 ,0.2585895140610422
8/25/21  ,      81 ,     0.0 ,        5 ,      52 ,Light Rain              ,0.2575088572030068
5/22/21  ,      74 ,     2.1 ,       14 ,      79 ,Light Rain              ,0.2570424481973284
5/1/21   ,      70 ,     2.3 ,       14 ,      82 ,Light Rain              ,0.25526774260938295
4/23/21  ,      68 ,     0.0 ,       17 ,      85 ,Light Rain              ,0.25355196539696273
12/2/21  ,      56 ,     0.0 ,        0 ,      56 ,Cloudy                  ,0.24902628500055493
5/17/21  ,      70 ,     1.9 ,       15 ,      67 ,Mostly Cloudy           ,0.24819313439050136
4/30/21  ,      71 ,     1.6 ,       10 ,      73 ,Cloudy                  ,0.247814056062184
12/7/21  ,      57 ,     0.0 ,        0 ,      63 ,Cloudy                  ,0.24723153074399687
6/5/21   ,      73 ,     0.0 ,       14 ,      67 ,Thunder                 ,0.24444638622434914
3/24/21  ,      64 ,     0.0 ,       26 ,      73 ,Cloudy / Windy          ,0.243426693238584
1/20/21  ,      59 ,     0.0 ,       13 ,      84 ,Haze                    ,0.24290659606039416
9/1/21   ,      82 ,     1.0 ,        3 ,      74 ,Mostly Cloudy           ,0.24289970927701313
5/16/21  ,      72 ,     0.6 ,       12 ,      87 ,Light Rain with Thunder ,0.24283593842427634
11/11/21 ,      62 ,     0.9 ,       14 ,      59 ,Fair                    ,0.2422199988428762
9/3/21   ,      78 ,     0.6 ,       12 ,      76 ,Thunder                 ,0.24204052297681428
2/19/21  ,      26 ,     0.0 ,        7 ,      35 ,Fair                    ,0.23930121411216773
11/3/21  ,      59 ,     0.7 ,       12 ,      75 ,Light Rain with Thunder ,0.2389985171366604
8/6/21   ,      78 ,     0.0 ,        7 ,      79 ,                        ,0.23833361198655872
7/6/21   ,      76 ,     2.0 ,       12 ,      65 ,Mostly Cloudy           ,0.23697463916460726
4/3/21   ,      53 ,     0.0 ,       13 ,      58 ,Light Rain              ,0.23654590314111698
1/11/21  ,      36 ,     0.0 ,       17 ,      58 ,Mostly Cloudy           ,0.236078581166527
10/11/21 ,      71 ,     1.0 ,        3 ,      37 ,Partly Cloudy           ,0.235880856554338
5/29/21  ,      70 ,     0.7 ,        0 ,      40 ,Fair                    ,0.23397712570721704
3/29/21  ,      49 ,     0.0 ,       15 ,      26 ,Mostly Cloudy           ,0.2320811443511837
2/13/21  ,      36 ,     0.0 ,       13 ,      67 ,Cloudy                  ,0.2295571231231499
11/21/21 ,      64 ,     1.0 ,        7 ,      62 ,Mostly Cloudy           ,0.22932482203767152
1/28/21  ,      43 ,     0.0 ,        0 ,      35 ,Partly Cloudy           ,0.22915920548728824
1/30/21  ,      58 ,     0.0 ,       18 ,      68 ,Light Rain              ,0.2275188163750937
10/7/21  ,      69 ,     0.0 ,        0 ,      27 ,Fair                    ,0.22518309649485543
5/21/21  ,      72 ,     0.0 ,       10 ,      82 ,Light Rain              ,0.22420644256398156
9/22/21  ,      71 ,     0.0 ,       18 ,      25 ,Partly Cloudy           ,0.22190452334688607
3/28/21  ,      54 ,     0.0 ,       13 ,      65 ,Light Rain              ,0.22075611330533412
4/17/21  ,      57 ,     0.1 ,       16 ,      72 ,Light Rain              ,0.21903522730521438
10/17/21 ,      55 ,     0.0 ,        8 ,      27 ,Mostly Cloudy           ,0.21853032976558667
3/31/21  ,      61 ,     0.0 ,       22 ,      78 ,Cloudy / Windy          ,0.21724263533492882
2/6/21   ,      50 ,     0.0 ,        5 ,      65 ,Mostly Cloudy           ,0.21706747490111714
2/20/21  ,      32 ,     0.0 ,       14 ,      44 ,Fair                    ,0.21574037436255247
3/3/21   ,      45 ,     0.0 ,        0 ,      26 ,Fair                    ,0.215486281142354
5/9/21   ,      78 ,     0.0 ,       25 ,      61 ,Mostly Cloudy / Windy   ,0.21499542542628067
10/25/21 ,      74 ,     0.0 ,        0 ,      47 ,Partly Cloudy           ,0.21460462438578415
7/20/21  ,      78 ,     1.0 ,        8 ,      52 ,Partly Cloudy           ,0.21017309725411287
8/28/21  ,      81 ,     0.0 ,        3 ,      74 ,Cloudy                  ,0.20977881681070415
9/23/21  ,      64 ,     0.0 ,        0 ,      29 ,Fair                    ,0.20926560057654223
1/14/21  ,      41 ,     0.0 ,       20 ,      31 ,Fair                    ,0.2087746278994718
9/18/21  ,      75 ,     0.0 ,        7 ,      72 ,Partly Cloudy           ,0.20797126715691724
3/23/21  ,      63 ,     0.7 ,        6 ,      24 ,Partly Cloudy           ,0.2057352680401949
11/27/21 ,      50 ,     0.1 ,        6 ,      72 ,Cloudy                  ,0.205505273917416
1/31/21  ,      52 ,     0.0 ,       21 ,      31 ,Fair / Windy            ,0.20512037703893202
2/5/21   ,      48 ,     0.0 ,       18 ,      77 ,Cloudy                  ,0.20506289941875563
12/13/21 ,      52 ,     0.0 ,       10 ,      87 ,Cloudy                  ,0.20405373924730683
1/26/21  ,      61 ,     0.0 ,       10 ,      26 ,Mostly Cloudy           ,0.20293767755262343
5/28/21  ,      70 ,     0.9 ,        9 ,      57 ,Partly Cloudy           ,0.20286239646343004
12/6/21  ,      62 ,     0.9 ,       16 ,      68 ,Mostly Cloudy           ,0.20124664355147845
1/1/21   ,      41 ,     0.0 ,        8 ,      51 ,Mostly Cloudy           ,0.20106920528606603
9/19/21  ,      76 ,     0.7 ,        0 ,      50 ,Mostly Cloudy           ,0.20104064080966916
9/10/21  ,      77 ,     0.0 ,       14 ,      23 ,Fair                    ,0.2000119982287225
10/14/21 ,      79 ,     0.3 ,        8 ,      82 ,Cloudy                  ,0.19598348713418653
3/19/21  ,      49 ,     0.0 ,       20 ,      35 ,Fair                    ,0.19581655325018407
9/21/21  ,      79 ,     0.0 ,        0 ,      40 ,Mostly Cloudy           ,0.19463704619757896
4/24/21  ,      70 ,     0.0 ,       17 ,      29 ,Fair                    ,0.19332209002379327
4/2/21   ,      52 ,     0.0 ,       14 ,      30 ,Cloudy                  ,0.1913426508624125
1/23/21  ,      61 ,     0.0 ,       13 ,      87 ,Cloudy                  ,0.1901838351110031
5/7/21   ,      64 ,     0.0 ,       12 ,      30 ,Mostly Cloudy           ,0.18739228071976413
9/8/21   ,      73 ,     0.0 ,        9 ,      29 ,Mostly Cloudy           ,0.1854243212371687
11/26/21 ,      48 ,     0.0 ,       10 ,      35 ,Cloudy                  ,0.18366705271445866
1/9/21   ,      38 ,     0.0 ,        7 ,      47 ,Partly Cloudy           ,0.1834986488109225
11/28/21 ,      51 ,     0.0 ,        8 ,      75 ,Cloudy                  ,0.1824444480789132
4/19/21  ,      53 ,     0.0 ,        3 ,      31 ,Partly Cloudy           ,0.18075133613875322
12/11/21 ,      51 ,     0.0 ,       13 ,      32 ,Cloudy                  ,0.17836335143468138
4/10/21  ,      68 ,     0.0 ,       13 ,      20 ,Fair                    ,0.17775080462726406
2/25/21  ,      66 ,     0.1 ,        8 ,      87 ,Cloudy                  ,0.1773550755037749
3/14/21  ,      60 ,     0.2 ,       17 ,      79 ,Cloudy                  ,0.17648653310876697
3/12/21  ,      67 ,     0.0 ,       21 ,      50 ,Partly Cloudy / Windy   ,0.17532655447181233
