date,min_temp,rainfall,windspeed,humidity,cloudcover
1/1/21,41,0,8,51,Mostly Cloudy
1/2/21,41,0,7,42,Fair
1/3/21,43,0,13,37,Fair
1/4/21,49,0,3,43,Fair
1/5/21,51,0,13,38,Fair
1/6/21,54,1,24,53,Mostly Cloudy / Windy
1/7/21,45,0,16,47,Partly Cloudy
1/8/21,42,0,12,52,Mostly Cloudy
1/9/21,38,0,7,47,Partly Cloudy
1/10/21,37,1.5,18,89,Rain
1/11/21,36,0,17,58,Mostly Cloudy
1/12/21,34,0,3,48,Cloudy
1/13/21,39,0,8,39,Fair
1/14/21,41,0,20,31,Fair
1/15/21,45,0,16,24,Fair
1/16/21,41,0,12,18,Fair
1/17/21,41,0,10,18,Fair
1/18/21,42,0,14,52,Mostly Cloudy
1/19/21,61,0,13,51,Partly Cloudy
1/20/21,59,0,13,84,Haze
1/21/21,61,0,9,87,Cloudy
1/22/21,63,0,6,78,Cloudy
1/23/21,61,0,13,87,Cloudy
1/24/21,61,0,16,74,Cloudy
1/25/21,68,0,12,46,Cloudy
1/26/21,61,0,10,26,Mostly Cloudy
1/27/21,51,0,22,22,Mostly Cloudy / Windy
1/28/21,43,0,0,35,Partly Cloudy
1/29/21,45,0,14,58,Partly Cloudy
1/30/21,58,0,18,68,Light Rain
1/31/21,52,0,21,31,Fair / Windy
2/1/21,44,0,8,22,Fair
2/2/21,47,0,12,36,Fair
2/3/21,49,0,12,56,Partly Cloudy
2/4/21,61,0,20,52,Mostly Cloudy
2/5/21,48,0,18,77,Cloudy
2/6/21,50,0,5,65,Mostly Cloudy
2/7/21,43,0,15,52,Fair
2/8/21,53,0,15,65,Cloudy
2/9/21,64,0,10,81,Cloudy
2/10/21,48,0.3,7,84,Haze
2/11/21,40,2.6,17,86,Cloudy
2/12/21,36,0,20,79,Cloudy
2/13/21,36,0,13,67,Cloudy
2/14/21,28,0,14,82,Rain
2/15/21,18,0,15,66,Partly Cloudy
2/16/21,15,0,7,46,Cloudy
2/17/21,33,0.3,14,89,Cloudy
2/18/21,32,0,18,60,Fair
2/19/21,26,0,7,35,Fair
2/20/21,32,0,14,44,Fair
2/21/21,46,0,10,51,Cloudy
2/22/21,51,0,5,17,Fair
2/23/21,45,0,15,23,Fair
2/24/21,58,0,13,60,Mostly Cloudy
2/25/21,66,0.1,8,87,Cloudy
2/26/21,69,0,22,58,Partly Cloudy / Windy
2/27/21,70,0,20,74,Cloudy
2/28/21,71,0,17,65,Partly Cloudy
3/1/21,53,1.1,21,72,Cloudy / Windy
3/2/21,49,0,13,47,Fair
3/3/21,45,0,0,26,Fair
3/4/21,45,0,15,33,Partly Cloudy
3/5/21,55,0,9,66,Mostly Cloudy
3/6/21,54,0,13,32,Fair
3/7/21,47,0,14,28,Fair
3/8/21,47,0,12,42,Mostly Cloudy
3/9/21,58,0,22,51,Mostly Cloudy / Windy
3/10/21,63,0.1,14,64,Mostly Cloudy
3/11/21,70,0,18,60,Cloudy
3/12/21,67,0,21,50,Partly Cloudy / Windy
3/13/21,66,0,18,50,Mostly Cloudy
3/14/21,60,0.2,17,79,Cloudy
3/15/21,61,0,12,69,Cloudy
3/16/21,68,0,10,65,Mostly Cloudy
3/17/21,59,0.5,22,20,Partly Cloudy / Windy
3/18/21,50,0,18,29,Fair
3/19/21,49,0,20,35,Fair
3/20/21,47,0,7,31,Fair
3/21/21,48,0,12,49,Mostly Cloudy
3/22/21,57,0,21,59,Mostly Cloudy / Windy
3/23/21,63,0.7,6,24,Partly Cloudy
3/24/21,64,0,26,73,Cloudy / Windy
3/25/21,64,0,15,25,Fair
3/26/21,58,0,13,44,Fair
3/27/21,71,0,15,61,Mostly Cloudy
3/28/21,54,0,13,65,Light Rain
3/29/21,49,0,15,26,Mostly Cloudy
3/30/21,66,0,21,65,Mostly Cloudy / Windy
3/31/21,61,0,22,78,Cloudy / Windy
4/1/21,53,0,10,20,Fair
4/2/21,52,0,14,30,Cloudy
4/3/21,53,0,13,58,Light Rain
4/4/21,56,0,13,59,Mostly Cloudy
4/5/21,62,0,17,48,Partly Cloudy
4/6/21,69,0,21,60,Mostly Cloudy / Windy
4/7/21,67,0.3,18,60,Mostly Cloudy
4/8/21,61,0,5,33,Fair
4/9/21,73,0,17,65,Cloudy
4/10/21,68,0,13,20,Fair
4/11/21,59,0,14,58,Mostly Cloudy
4/12/21,61,0,7,17,Fair
4/13/21,72,0,8,67,Mostly Cloudy
4/14/21,0,1.2,7,88,Heavy T-Storm
4/15/21,65,0,15,70,Cloudy
4/16/21,65,0.2,5,91,Fog
4/17/21,57,0.1,16,72,Light Rain
4/18/21,53,0,10,40,Mostly Cloudy
4/19/21,53,0,3,31,Partly Cloudy
4/20/21,55,0,5,26,Fair
4/21/21,49,0,9,26,Fair
4/22/21,56,0,17,63,Cloudy
4/23/21,68,0,17,85,Light Rain
