date     ,min_temp ,rainfall ,windspeed ,humidity ,cloudcover              ,OLS
8/15/21  ,       0 ,     4.9 ,        7 ,      52 ,Mostly Cloudy           ,0.9700204965322674
4/14/21  ,       0 ,     1.2 ,        7 ,      88 ,Heavy T-Storm           ,0.7758611062843215
10/27/21 ,      65 ,     3.6 ,       21 ,      36 ,Partly Cloudy / Windy   ,0.6530693988037275
7/30/21  ,      79 ,     2.3 ,       22 ,      52 ,Thunder / Windy         ,0.5768214007963117
6/28/21  ,      75 ,     4.7 ,        7 ,      87 ,Light Rain              ,0.5634713149314138
8/18/21  ,       0 ,     0.5 ,       14 ,      77 ,                        ,0.541429298803476
6/22/21  ,       0 ,     1.3 ,       14 ,      54 ,Partly Cloudy           ,0.531524839629733
8/26/21  ,       0 ,     0.8 ,        7 ,      55 ,Mostly Cloudy           ,0.5269008407853858
2/11/21  ,      40 ,     2.6 ,       17 ,      86 ,Cloudy                  ,0.5072900793485582
1/10/21  ,      37 ,     1.5 ,       18 ,      89 ,Rain                    ,0.4897801395646397
2/14/21  ,      28 ,     0.0 ,       14 ,      82 ,Rain                    ,0.4887588833738996
9/2/21   ,      81 ,     4.1 ,       10 ,      72 ,Cloudy                  ,0.4827689189044897
6/29/21  ,      77 ,     3.2 ,        0 ,      82 ,Mostly Cloudy           ,0.48193534965675217
9/14/21  ,      71 ,     4.1 ,       14 ,      79 ,Cloudy                  ,0.47919709453490306
10/28/21 ,      61 ,     0.0 ,       29 ,      17 ,Fair / Windy            ,0.45444274754188607
9/13/21  ,      73 ,     3.9 ,       12 ,      88 ,Light Rain              ,0.44826037662555573
7/31/21  ,      80 ,     0.0 ,       10 ,      67 ,Thunder in the Vicinity ,0.4456671066857028
1/27/21  ,      51 ,     0.0 ,       22 ,      22 ,Mostly Cloudy / Windy   ,0.3952840629089551
12/18/21 ,      54 ,     2.3 ,       10 ,      87 ,Light Rain with Thunder ,0.3859639782487907
5/24/21  ,      74 ,     3.2 ,       15 ,      79 ,Light Rain              ,0.3808906480141527
2/16/21  ,      15 ,     0.0 ,        7 ,      46 ,Cloudy                  ,0.3769738177817593
2/15/21  ,      18 ,     0.0 ,       15 ,      66 ,Partly Cloudy           ,0.36761637351513776
