id,name,year,time,vmax,mslp
AL031998,CHARLEY,1998,1998-08-21T06:00:00,25,1008
AL031998,CHARLEY,1998,1998-08-21T12:00:00,30,1008
AL031998,CHARLEY,1998,1998-08-21T18:00:00,40,1008
AL031998,CHARLEY,1998,1998-08-22T00:00:00,45,1006
AL031998,CHARLEY,1998,1998-08-22T06:00:00,60,1002
AL031998,CHARLEY,1998,1998-08-22T10:00:00,40,1000
AL031998,CHARLEY,1998,1998-08-22T12:00:00,35,1001
AL031998,CHARLEY,1998,1998-08-22T18:00:00,30,1003
AL031998,CHARLEY,1998,1998-08-23T00:00:00,25,1005
AL031998,CHARLEY,1998,1998-08-23T06:00:00,20,1006
AL031998,CHARLEY,1998,1998-08-23T12:00:00,20,1007
AL031998,CHARLEY,1998,1998-08-23T18:00:00,20,1008
AL031998,CHARLEY,1998,1998-08-24T00:00:00,20,1008
AL051998,EARL,1998,1998-08-31T12:00:00,30,1005
AL051998,EARL,1998,1998-08-31T18:00:00,35,1002
AL051998,EARL,1998,1998-09-01T00:00:00,35,1002
AL051998,EARL,1998,1998-09-01T06:00:00,40,1001
AL051998,EARL,1998,1998-09-01T12:00:00,45,999
AL051998,EARL,1998,1998-09-01T18:00:00,50,998
AL051998,EARL,1998,1998-09-02T00:00:00,50,998
AL051998,EARL,1998,1998-09-02T06:00:00,50,996
AL051998,EARL,1998,1998-09-02T12:00:00,70,994
AL051998,EARL,1998,1998-09-02T18:00:00,85,988
AL051998,EARL,1998,1998-09-03T00:00:00,80,985
AL051998,EARL,1998,1998-09-03T06:00:00,70,987
AL051998,EARL,1998,1998-09-03T12:00:00,45,990
AL051998,EARL,1998,1998-09-03T18:00:00,40,994
AL051998,EARL,1998,1998-09-04T00:00:00,40,994
AL051998,EARL,1998,1998-09-04T06:00:00,50,995
AL051998,EARL,1998,1998-09-04T12:00:00,50,998
AL051998,EARL,1998,1998-09-04T18:00:00,50,1000
AL051998,EARL,1998,1998-09-05T00:00:00,50,1000
AL051998,EARL,1998,1998-09-05T06:00:00,50,998
