id       ,name      ,year ,start_time          ,end_time            ,lat  ,lon   ,vmax ,mslp
AL031998 ,CHARLEY   ,1998 ,1998-08-21T06:00:00 ,1998-08-24T00:00:00 ,25.3 ,-92.3 ,  60 ,1000
AL051998 ,EARL      ,1998 ,1998-08-31T12:00:00 ,1998-09-08T12:00:00 ,21.6 ,-93.5 ,  85 , 964
AL061998 ,FRANCES   ,1998 ,1998-09-08T18:00:00 ,1998-09-13T18:00:00 ,25.5 ,-94.5 ,  55 , 990
AL071998 ,GEORGES   ,1998 ,1998-09-15T12:00:00 ,1998-10-01T06:00:00 , 9.7 ,-25.1 , 135 , 937
AL081998 ,HERMINE   ,1998 ,1998-09-17T12:00:00 ,1998-09-20T18:00:00 ,26.9 ,-90.3 ,  40 , 999
AL131998 ,MITCH     ,1998 ,1998-10-22T00:00:00 ,1998-11-09T18:00:00 ,11.6 ,-76.1 , 155 , 905
AL031999 ,BRET      ,1999 ,1999-08-18T18:00:00 ,1999-08-25T00:00:00 ,19.5 ,-94.4 , 125 , 944
AL101999 ,HARVEY    ,1999 ,1999-09-19T06:00:00 ,1999-09-22T00:00:00 ,25.0 ,-87.8 ,  50 , 994
AL131999 ,IRENE     ,1999 ,1999-10-12T12:00:00 ,1999-10-19T18:00:00 ,15.9 ,-82.0 ,  95 , 958
AL112000 ,GORDON    ,2000 ,2000-09-14T12:00:00 ,2000-09-21T06:00:00 ,19.8 ,-87.3 ,  70 , 981
AL122000 ,HELENE    ,2000 ,2000-09-15T12:00:00 ,2000-09-25T18:00:00 ,14.9 ,-52.2 ,  60 , 986
AL152000 ,KEITH     ,2000 ,2000-09-28T18:00:00 ,2000-10-06T12:00:00 ,16.1 ,-82.9 , 120 , 939
AL012001 ,ALLISON   ,2001 ,2001-06-05T12:00:00 ,2001-06-19T00:00:00 ,27.5 ,-95.0 ,  50 ,1000
AL032001 ,BARRY     ,2001 ,2001-08-02T12:00:00 ,2001-08-08T06:00:00 ,25.7 ,-84.8 ,  60 , 990
AL042001 ,CHANTAL   ,2001 ,2001-08-14T18:00:00 ,2001-08-22T12:00:00 ,12.8 ,-37.0 ,  60 , 997
AL082001 ,GABRIELLE ,2001 ,2001-09-11T18:00:00 ,2001-09-21T18:00:00 ,25.8 ,-84.1 ,  70 , 975
AL152001 ,MICHELLE  ,2001 ,2001-10-29T18:00:00 ,2001-11-06T18:00:00 ,13.3 ,-83.6 , 120 , 933
AL062002 ,FAY       ,2002 ,2002-09-05T18:00:00 ,2002-09-11T00:00:00 ,28.0 ,-93.8 ,  50 , 998
AL092002 ,HANNA     ,2002 ,2002-09-12T00:00:00 ,2002-09-15T12:00:00 ,26.3 ,-86.6 ,  50 ,1001
AL102002 ,ISIDORE   ,2002 ,2002-09-14T18:00:00 ,2002-09-27T18:00:00 ,10.0 ,-60.5 , 110 , 934
AL132002 ,LILI      ,2002 ,2002-09-21T18:00:00 ,2002-10-04T12:00:00 ,10.2 ,-44.6 , 125 , 938
AL032003 ,BILL      ,2003 ,2003-06-28T06:00:00 ,2003-07-03T00:00:00 ,19.5 ,-89.0 ,  50 , 997
AL042003 ,CLAUDETTE ,2003 ,2003-07-07T00:00:00 ,2003-07-17T12:00:00 ,11.1 ,-53.5 ,  80 , 979
AL082003 ,ERIKA     ,2003 ,2003-08-14T18:00:00 ,2003-08-17T00:00:00 ,26.4 ,-83.3 ,  65 , 986
AL112003 ,GRACE     ,2003 ,2003-08-30T12:00:00 ,2003-09-02T06:00:00 ,24.3 ,-92.4 ,  35 ,1007
AL122003 ,HENRI     ,2003 ,2003-09-03T18:00:00 ,2003-09-08T18:00:00 ,27.4 ,-87.7 ,  50 , 997
AL172003 ,LARRY     ,2003 ,2003-09-27T18:00:00 ,2003-10-07T18:00:00 ,18.5 ,-84.7 ,  55 , 993
AL022004 ,BONNIE    ,2004 ,2004-08-03T12:00:00 ,2004-08-14T00:00:00 ,12.9 ,-53.6 ,  55 ,1001
AL032004 ,CHARLEY   ,2004 ,2004-08-09T12:00:00 ,2004-08-15T12:00:00 ,11.4 ,-59.2 , 130 , 941
AL092004 ,IVAN      ,2004 ,2004-09-02T18:00:00 ,2004-09-24T06:00:00 , 9.7 ,-27.6 , 145 , 910
AL142004 ,MATTHEW   ,2004 ,2004-10-08T12:00:00 ,2004-10-11T06:00:00 ,24.0 ,-95.4 ,  40 , 997
AL012005 ,ARLENE    ,2005 ,2005-06-08T18:00:00 ,2005-06-14T06:00:00 ,16.9 ,-84.0 ,  60 , 989
AL022005 ,BRET      ,2005 ,2005-06-28T18:00:00 ,2005-06-30T00:00:00 ,19.7 ,-95.4 ,  35 ,1002
AL032005 ,CINDY     ,2005 ,2005-07-03T18:00:00 ,2005-07-11T06:00:00 ,18.3 ,-86.7 ,  65 , 991
AL042005 ,DENNIS    ,2005 ,2005-07-04T18:00:00 ,2005-07-18T06:00:00 ,12.0 ,-60.8 , 130 , 930
AL052005 ,EMILY     ,2005 ,2005-07-11T00:00:00 ,2005-07-21T12:00:00 ,10.7 ,-42.4 , 140 , 929
AL072005 ,GERT      ,2005 ,2005-07-23T18:00:00 ,2005-07-25T18:00:00 ,19.3 ,-92.9 ,  40 ,1005
AL112005 ,JOSE      ,2005 ,2005-08-22T12:00:00 ,2005-08-23T12:00:00 ,19.4 ,-94.5 ,  50 , 998
