Date,English,Japanese,German,French,Chinese,Russian,Spanish
01-07-2015,3513.862203,580.6470559,714.9684046,475.1509943,240.5820419,629.9996006,1085.972919
02-07-2015,3502.511407,666.6728011,705.2297407,478.2019998,240.9419583,640.9028758,1037.814557
03-07-2015,3325.357889,602.2898047,676.8772308,459.8376587,239.344071,594.0262948,954.4126804
04-07-2015,3462.054256,756.5091772,621.1451448,491.5089316,241.6534912,558.7281321,896.0507499
05-07-2015,3575.520035,725.7209143,722.0761848,482.5577463,257.7796738,595.0291572,974.5082095
06-07-2015,3849.736021,632.3991484,794.8324796,502.7412089,259.1148645,640.9862868,1110.637145
07-07-2015,3643.523063,615.1841809,770.8142557,485.9453994,258.8322596,626.2934363,1082.568342
08-07-2015,3437.87108,611.4623366,782.0776406,476.9988204,265.5895293,623.360205,1050.669557
09-07-2015,3517.459391,596.0676423,752.9399903,472.0619032,263.9644205,638.5507256,1030.841282
10-07-2015,3497.571594,619.2993001,701.7025934,445.4950567,274.4145917,731.2522966,937.1299311
11-07-2015,3517.054297,639.5772111,649.1529627,441.4922481,256.0630333,673.282519,842.8086573
12-07-2015,3869.211216,688.0810533,770.1194263,504.1733513,288.4863892,744.739116,960.2466416
13-07-2015,3832.417662,612.6059909,840.3052785,491.6433547,264.7279006,768.1039143,1089.365555
14-07-2015,3854.165298,573.9095003,799.7188764,527.2733401,250.0423124,744.5339502,1144.025801
15-07-2015,3563.026589,575.1421369,746.4223325,486.4859005,245.2148703,712.5876714,1081.183666
16-07-2015,3605.074747,657.9548236,739.2823637,475.7162117,244.5992222,726.6602982,1029.52207
17-07-2015,3455.528829,787.6269395,760.8859654,457.9279856,245.6535492,717.6129676,926.5453124
18-07-2015,3335.306288,662.3126132,895.2721195,463.5435906,256.0051077,643.3536813,806.1572251
19-07-2015,3540.557533,649.4581763,845.2215992,502.5548815,288.6247606,712.591599,862.2973914
20-07-2015,3720.901319,649.6207234,774.5204615,490.0867318,271.4350804,731.1603648,1012.967588
21-07-2015,3544.275386,567.6516079,722.3078665,477.304067,267.0367984,711.5857409,1003.396546
22-07-2015,3488.537249,569.5717782,736.9085566,480.2955286,270.3589878,694.5234989,1032.552705
23-07-2015,3435.995645,541.1330821,715.8588451,452.4322548,240.6099019,624.12728,968.7881868
24-07-2015,3340.325991,492.3381626,678.8968027,423.5619593,208.9753903,553.7879776,860.5021679
25-07-2015,3346.974988,479.8600656,674.8569041,424.4685429,201.0560683,504.9973372,771.0791101
26-07-2015,3585.658246,513.7852773,705.361514,460.5622964,217.0771374,564.2583544,850.3910015
27-07-2015,3643.563216,496.5052616,755.1711328,446.4849455,217.0701143,609.7921049,979.4249058
28-07-2015,3589.972955,485.329793,749.1605111,440.9654533,214.2863196,587.527493,972.1515388
29-07-2015,4189.383649,528.4871519,747.2445139,447.2797438,216.4158686,576.0237651,983.0614116
30-07-2015,3283.13593,476.8046106,714.2386909,427.0179755,208.084973,561.9346292,935.0232426
31-07-2015,3175.764394,446.8483187,668.9796733,401.1292551,196.0847408,551.9650513,844.7517947
01-08-2015,3181.30633,433.754246,655.1914595,388.4746096,178.2522491,494.4137265,737.7896794
02-08-2015,3462.76879,483.8835593,677.7435704,396.4530952,195.7689941,551.7526295,809.8633165
03-08-2015,3267.47142,522.8007929,704.7315469,404.4114706,217.2203842,700.3046865,834.6554837
04-08-2015,3522.243861,604.1627429,746.4061573,486.0408381,256.0773115,736.6869924,1012.466629
05-08-2015,3527.101419,594.8176301,714.708093,468.9660151,265.5484358,704.4996672,1024.648234
06-08-2015,3533.813464,623.9161079,719.7785626,477.7554769,259.7486215,708.2560245,1025.459592
07-08-2015,3599.890783,605.0802212,734.3654499,483.2782833,255.3568983,708.1208894,911.1720094
08-08-2015,3434.24805,621.0955411,663.9508276,488.3786091,254.9383017,648.5468646,838.2813277
09-08-2015,3580.401029,660.02413,740.6506713,504.5781373,264.8498462,677.8803089,916.5881015
10-08-2015,3513.810685,653.5279233,707.8466059,463.9975845,247.7687039,673.4167887,979.7622432
11-08-2015,3508.693504,622.911507,732.9527147,479.1442535,244.8623832,704.218879,1137.322127
12-08-2015,3520.86183,666.9634869,737.7111662,476.7859791,252.1262406,723.9679137,1143.997939
13-08-2015,3472.513979,661.9190446,752.0450747,500.1022357,261.048697,739.417521,1103.547587
14-08-2015,3437.64518,694.2566198,716.479862,502.0857769,251.5764699,746.2390494,942.4460161
15-08-2015,3436.148664,743.1807547,676.7175824,505.3418155,262.1552034,689.8176009,816.306063
16-08-2015,3666.110586,741.1460526,811.0174691,510.4350635,279.5394974,718.2038344,887.9861397
17-08-2015,3714.781276,675.3545103,796.6561708,508.765532,272.954031,758.3407669,1095.091478
18-08-2015,3585.069396,637.5686457,781.6186984,493.4157398,270.5754832,773.9482759,1196.617457
19-08-2015,3442.963249,602.6930155,744.3440988,467.692675,252.7851878,687.2875116,1205.011657
20-08-2015,3450.416501,543.3560766,748.6393487,440.2660937,215.1356434,589.6736786,1141.853579
21-08-2015,3382.392111,563.7060839,704.4795385,472.4472531,244.0456208,652.8169352,1042.529959
22-08-2015,3340.002406,751.4940042,617.12746,467.5290979,282.3292124,660.9658501,887.0373161
23-08-2015,3700.59192,900.2445793,746.5714132,539.2912032,309.352313,733.7580881,1034.570332
24-08-2015,3681.515306,710.0248642,791.1760932,539.166779,279.878867,833.4538011,1277.171583
25-08-2015,3494.014269,720.7517008,823.4829352,531.6097068,269.3938708,908.1083078,1482.512972
26-08-2015,3332.366393,638.9186041,751.5998814,529.1342546,281.0059203,744.1873253,1499.019049
27-08-2015,3330.276091,693.6202829,766.4020057,522.135996,284.5990481,764.0263613,1454.366551
28-08-2015,3230.231666,705.6539083,751.2841969,495.744804,275.3791282,746.2942351,1236.651432
29-08-2015,3320.014186,698.4135383,653.6834528,495.7874958,281.5769342,707.4627213,953.092686
30-08-2015,3499.792517,737.5725124,768.123524,545.3182227,299.1006443,762.9442152,1152.965811
31-08-2015,3793.064253,678.994616,772.1099908,539.930064,271.023681,712.3377047,1430.840429
01-09-2015,3397.030488,654.0054819,797.2101688,528.7575553,252.3650821,685.5848089,1508.696922
02-09-2015,3410.346897,619.7156282,798.1207203,554.5364004,250.8656335,767.6330049,1507.220698
03-09-2015,3349.463498,640.8663795,829.9365935,542.1454331,259.1012827,789.5854081,1462.384391
04-09-2015,3293.23934,618.0890314,764.3659891,535.6233569,243.1441755,789.7357875,1214.309261
05-09-2015,3384.751908,671.3373795,732.8838087,576.5981912,265.3514423,768.0489948,996.2509773
06-09-2015,3574.027045,723.6919387,821.1764167,597.0249972,280.6696848,847.4480762,1161.199588
07-09-2015,3798.533972,627.1566247,835.9280746,574.6062802,248.6714841,803.4416855,1470.489587
08-09-2015,3643.806662,613.6010474,803.2422494,558.7536232,237.3362935,837.0617761,1525.09034
09-09-2015,3544.514601,613.8796926,778.7023777,574.6979553,230.7699228,855.9418187,1504.753714
10-09-2015,3451.838518,579.1280407,769.3115329,545.2332322,219.3094202,795.2696711,1418.809724
11-09-2015,3576.919653,587.4105526,805.1846121,527.8547354,228.974926,771.048196,1206.105622
12-09-2015,3503.259209,617.5886643,699.730145,573.6503764,257.9269255,738.3010917,968.0287867
13-09-2015,3899.006886,675.6930155,820.9847415,663.5370745,264.1250798,846.0894022,1110.371029
14-09-2015,3718.389954,614.341393,847.654715,590.9862937,226.4288119,822.1999734,1378.270097
15-09-2015,3575.228845,560.4665949,798.4238421,570.3571509,221.2575309,818.7152177,1322.54581
16-09-2015,3468.916501,561.4122657,787.3443144,598.1409392,226.3023971,885.7889096,1278.901983
17-09-2015,3602.907417,600.6673193,791.7681027,584.9598921,220.2153927,873.2458394,1453.525979
18-09-2015,3428.192882,613.8329989,771.879711,558.4805078,225.5191828,848.4224471,1204.168171
19-09-2015,3366.077734,646.0900103,751.2819863,538.1859903,253.4472691,838.6481161,972.8120691
20-09-2015,3761.624399,642.9120944,863.1070793,585.8723739,280.211678,964.6053788,1165.024522
21-09-2015,3918.050025,770.6844012,840.224295,581.6341984,245.1054037,945.130209,1449.418438
22-09-2015,3657.091505,721.762273,825.80757,563.4668577,234.9465436,912.7610172,1503.010591
23-09-2015,3750.097851,925.6370222,835.2131342,568.7585103,235.1631551,932.5750899,1504.621722
24-09-2015,3469.879584,648.299398,825.3010729,558.1495899,251.5749028,903.4159899,1385.577937
25-09-2015,3397.022938,687.4729578,800.3177333,544.8772048,221.8789831,856.5123153,1136.164191
26-09-2015,3361.641364,688.200137,717.047447,547.8141782,264.1203204,829.377513,986.6526406
27-09-2015,3597.854405,725.8126377,794.0739742,733.0417369,277.7889024,918.0623086,1167.834956
28-09-2015,3747.79372,821.3509862,835.7479377,578.2384564,346.7788032,903.8554121,1437.911436
29-09-2015,3482.857682,641.1220694,803.5738394,560.4019211,276.6277207,901.2624817,1504.292274
30-09-2015,3611.671644,626.1453184,785.6524505,580.4597798,234.9118347,915.2413127,1484.388301
01-10-2015,3483.033889,601.0481132,764.5204076,569.0299405,248.9268094,878.6855279,1401.70467
02-10-2015,3477.976108,599.9761637,740.7318704,555.2842377,239.9746938,886.3232592,1194.220058
03-10-2015,3558.812884,719.3999804,805.137812,563.3663072,275.8659237,910.9107975,978.3137394
04-10-2015,3921.680355,740.6504821,836.7883755,609.6404898,294.0726101,910.8437625,1126.501599
05-10-2015,3828.704123,670.3408546,838.8261174,596.5185372,251.1776656,857.9661164,1373.988343
06-10-2015,3582.734362,643.4860751,811.6121206,560.2078418,246.5030472,857.2086939,1465.622574
07-10-2015,3655.726398,627.2551025,821.9659244,587.3737221,243.9184514,890.0771535,1457.455469
08-10-2015,3662.943587,658.4565122,801.6412897,580.5390967,247.7377677,887.3760485,1396.275926
09-10-2015,3747.053385,601.3804513,791.0458834,554.206943,270.8146729,847.9894821,1217.413036
10-10-2015,3818.594906,667.1669032,747.5912547,583.0983036,280.5449533,817.2895087,1024.805317
11-10-2015,4005.615397,728.677353,848.2287162,629.9234917,286.3557374,902.7451072,1171.111664
12-10-2015,4098.324,727.1731682,826.3623227,596.9496124,244.899704,900.2981627,1557.702111
13-10-2015,4058.150116,614.2834908,829.1418019,595.0519043,240.4192931,872.6921182,1616.566494
14-10-2015,4216.426332,587.6186188,827.7015151,601.9354005,247.0982065,890.4705765,1584.435639
15-10-2015,3937.78447,583.9982869,824.3235025,572.1412201,245.6430437,870.1844628,1495.729405
16-10-2015,3423.181185,632.1621066,768.8798728,556.6259971,250.4690928,831.3988151,1252.553913
17-10-2015,3499.122573,679.6163673,730.8264949,558.1520616,280.8488595,814.3207962,1063.375151
18-10-2015,3780.789406,717.8374529,831.3367121,597.32384,307.2650763,896.933431,1249.438908
19-10-2015,3959.63452,638.0185013,842.8474147,596.6504325,267.7309188,885.8855678,1482.986566
20-10-2015,3982.400738,622.5866086,845.2521702,592.4647231,265.6808288,865.5742245,1541.005615
21-10-2015,3963.756015,650.4764329,841.2552434,584.190091,280.8221603,873.1237518,1549.191343
22-10-2015,3868.052555,613.1920611,833.8397045,576.2832828,266.2766847,857.8060844,1477.292842
23-10-2015,3702.562967,655.4012041,796.255513,557.363667,268.3242788,820.675942,1242.325254
24-10-2015,3617.942841,651.4671822,737.7699898,601.6995281,295.5932439,809.3650646,1054.441467
25-10-2015,3976.037083,675.5910137,840.33159,613.9409055,321.6536073,889.1120357,1212.122041
26-10-2015,4033.232661,621.0407224,852.1041678,636.8176609,272.7551802,887.5957928,1465.471391
27-10-2015,4048.723453,635.3718369,819.7024856,594.3504101,265.1052296,883.0392757,1553.538276
28-10-2015,3950.368965,584.704175,808.0894484,595.6355466,263.9980266,860.4658501,1520.393987
29-10-2015,3765.093496,583.9558025,810.7863266,591.7519942,271.4383307,863.8506857,1393.290639
30-10-2015,3616.65107,672.8416622,785.4693481,597.6203797,260.0005224,840.2484356,1141.840714
31-10-2015,3523.633897,636.9048994,757.5857012,620.0143804,286.7084567,809.7594861,957.1929064
01-11-2015,3681.410611,666.890999,879.7781312,649.3072127,311.3972372,923.8817734,1010.602673
02-11-2015,4072.817695,780.2219666,862.4203914,616.745478,273.885832,886.3209293,1295.515175
03-11-2015,3915.250332,682.2002349,833.3473338,592.0019661,265.5291659,878.521169,1403.550217
04-11-2015,3821.432595,579.5928736,863.6454952,619.4256825,273.4572523,976.5416722,1491.139171
05-11-2015,3902.806828,586.7225784,838.1770637,589.5921807,261.984735,943.4318999,1459.286872
06-11-2015,3609.785631,654.1807547,802.1794899,603.9098978,259.321783,903.5527892,1237.167887
07-11-2015,3503.13929,702.1974451,794.5205694,666.5645995,307.8871089,927.710691,1000.462009
08-11-2015,3824.209681,746.2196172,949.5134523,680.1175149,331.0353474,963.0068566,1180.411827
09-11-2015,3978.861208,653.5176937,946.8111824,617.212448,284.9754484,961.4101984,1453.223399
10-11-2015,3815.627966,613.5922862,963.2747075,600.2034603,271.0662255,976.1948476,1513.954012
11-11-2015,3777.373984,586.6038373,920.509732,706.489327,273.9002844,976.5682998,1464.193688
12-11-2015,3718.822217,596.2459008,872.8186769,594.3388383,265.9857798,1028.629077,1406.72379
13-11-2015,3510.077982,644.6734374,842.8930824,605.238007,269.2707064,957.4380908,1194.85564
14-11-2015,3602.052928,685.2111987,834.9988138,705.5561735,293.6439724,934.7083611,1029.550999
15-11-2015,3992.346109,663.194851,1054.489567,735.348781,319.6568576,1021.018107,1110.756557
16-11-2015,4075.531027,617.3303314,1008.224619,670.4453994,295.9650589,963.3960857,1347.896937
17-11-2015,3888.341132,613.7922275,965.4822882,865.0954387,311.1029079,1007.17248,1470.218708
18-11-2015,3786.409491,609.6611032,989.0819,621.0803842,282.497243,978.063174,1549.031061
19-11-2015,3749.587896,598.5291958,977.7218957,606.7647455,271.991642,949.4235122,1425.912716
20-11-2015,3664.715157,606.8020165,883.3501375,594.0416245,271.0081258,927.7645453,1167.603952
21-11-2015,3875.784968,638.4942,917.3414029,661.6481294,332.352313,925.5949274,983.8390077
22-11-2015,4108.116932,676.3238216,1033.269963,716.887316,363.0681409,1036.617095,1163.581207
23-11-2015,4186.675668,739.8594782,976.3401628,637.353612,297.4711823,947.417055,1412.731253
24-11-2015,3964.155674,743.6240027,901.4352186,637.9543871,278.2801091,957.2760618,1533.613974
25-11-2015,3916.709972,640.7251725,887.0450208,639.336142,274.3473794,1013.298629,1428.906887
26-11-2015,3764.307367,576.0834516,864.7807193,624.4511853,263.0357537,969.6191586,1297.437202
27-11-2015,3743.950846,574.9370075,836.1425567,654.6109988,254.0944338,916.9171216,1107.846755
28-11-2015,3934.121536,632.0170819,807.1505904,647.3673745,289.8667944,925.1710824,921.5052243
29-11-2015,4073.883815,671.4400176,966.8115598,710.9597236,318.5300366,995.3954866,1052.225176
30-11-2015,4281.235855,605.3134942,920.9165364,663.2694641,281.3916072,1076.468713,1220.963963
01-12-2015,3992.796458,580.7894866,871.1133337,634.4379845,283.3032097,928.1210225,1230.526619
02-12-2015,3786.947777,718.385199,873.2557826,649.9997753,293.289628,943.1700839,1218.595636
03-12-2015,3813.834412,617.1642112,982.4498841,616.0759465,284.7579082,934.8296498,1157.770915
04-12-2015,3660.940642,634.031276,1062.02313,609.0442647,276.1161414,873.5074557,982.977326
05-12-2015,3610.721545,661.2606334,994.9659783,624.4192226,305.2258402,883.9532685,801.6254887
06-12-2015,3888.4092,715.2665068,1129.884186,688.419054,338.47629,1031.002796,888.9632525
07-12-2015,4257.035963,616.8128334,1259.710681,673.3778227,296.7774682,933.0678338,1082.253252
08-12-2015,4042.944292,595.3387989,918.3796301,646.9055724,282.5507574,905.2552257,1138.391997
09-12-2015,3893.425377,579.8749449,870.7995902,641.8942254,286.3474375,900.6976435,1126.52733
10-12-2015,3733.777086,599.3733053,863.7954925,626.3022132,279.8010912,909.3395021,1105.668136
11-12-2015,3763.262983,620.6486222,807.208066,610.6702618,278.1329154,897.6017841,926.8658043
12-12-2015,3588.473785,716.6748079,794.5805791,673.6017301,315.6620814,920.1379976,820.5030919
13-12-2015,4003.833541,741.6111301,903.9056451,730.492866,348.2397121,1006.289975,918.256095
14-12-2015,4102.636469,648.5501933,986.1949641,669.0428042,305.8831041,965.1992411,1059.594712
15-12-2015,3834.643977,658.1187411,888.5047177,622.0695989,291.5558651,909.5953934,994.3074135
16-12-2015,3831.49328,643.4043365,889.46552,644.1098191,278.8544315,940.4134603,961.2701685
17-12-2015,3812.064792,614.4254319,883.156683,644.105887,265.4155784,951.0063241,917.5078541
18-12-2015,3808.499253,735.7550291,817.8818677,632.2746882,263.2353009,915.416123,787.321487
19-12-2015,3738.232703,687.7125936,812.8892004,651.4980339,295.5144814,920.4478099,739.5389864
20-12-2015,3940.012734,731.381577,944.9385885,708.3342883,328.788322,1022.819199,799.0044069
21-12-2015,4146.167081,649.7665802,891.6110961,674.8982699,298.5647455,938.9388231,808.1112375
22-12-2015,3918.252945,625.5551368,819.8665013,611.1488035,296.867723,925.3552124,762.452271
23-12-2015,3903.964618,782.0304439,781.1517766,627.4781485,298.143479,858.5748902,711.4130358
24-12-2015,3706.768625,701.1901033,743.1949641,566.4645545,278.7493761,847.4737052,645.7709148
25-12-2015,3677.500622,868.2567177,876.5082224,592.446579,286.1081316,839.0257622,636.8670126
26-12-2015,4127.238178,1135.289168,951.0143959,634.1601505,330.5811132,804.0994541,749.9784633
27-12-2015,4206.072092,789.9503206,976.0634065,671.3190091,370.662894,842.4212488,762.1142228
28-12-2015,4229.87585,805.6101023,898.7023238,664.5543759,327.8324917,808.1690188,844.7010449
29-12-2015,4155.485731,744.0022515,920.6757966,676.5633075,307.4661327,765.5463986,856.1397399
30-12-2015,3963.691679,760.5460819,867.174907,659.2848556,304.6959777,714.113833,778.149833
31-12-2015,3725.824747,1130.690764,807.4405564,611.8063701,306.2746532,746.2558248,693.4187931
01-01-2016,4153.015721,847.5320836,991.0215129,715.9590495,455.4699054,950.0135801,686.8317578
02-01-2016,4471.4703,967.0028388,1008.255513,741.1329626,380.4537118,987.526561,821.8454048
03-01-2016,4602.928945,924.5716803,1062.565968,848.685541,417.338441,974.1231527,845.4352122
04-01-2016,4655.947154,840.4535754,1086.947107,779.136333,340.2874804,986.8071495,915.8331793
05-01-2016,4207.557491,858.2992022,999.7117054,751.8985507,332.3061118,944.8526827,1021.127941
06-01-2016,4229.854322,859.289511,1034.231035,719.2469947,340.0163678,1003.810478,927.4916483
07-01-2016,4196.470425,851.390485,1010.61789,684.8237838,334.3812758,980.0223006,965.4537636
08-01-2016,4112.523395,893.7040771,1001.063245,688.7521627,330.0193859,991.1794701,1052.475442
09-01-2016,4284.312593,866.160883,990.0463687,755.9865745,356.8668524,1104.012049,1021.408558
10-01-2016,4496.007176,1133.770447,1117.67736,809.7843501,372.4116316,1059.316536,1119.405501
11-01-2016,6078.85005,1440.066761,1216.684154,883.1618919,378.1540426,1105.583012,1501.834317
12-01-2016,4888.099469,1037.822916,1061.792258,730.3019885,353.0341865,1029.049794,1397.806738
13-01-2016,4325.029492,889.6885126,1020.606405,727.5985283,346.9313947,1009.830715,1299.731751
14-01-2016,4752.443255,847.7492536,1068.223648,736.3684979,362.2838818,1179.900945,1300.681356
